H,A
1,1.0
2,0.7173596011535953
3,0.2968177774187606
4,0.06948748721898866
5,0.0758826399776897
6,0.0737331412341729
7,0.0551158800891476
8,0.03494674574259511
9,0.021094418732302233
10,0.013822634195840238
11,0.01054443928310815
12,0.00997845327736009
13,0.00914273528287488
14,0.007089338521987558
15,0.005198417797032858
16,0.004102337579249014
17,0.003374548552203177
18,0.003206981836624293
19,0.002924622309142537
20,0.002700865441844149
21,0.0021395507992361764
22,0.001647261171893248
23,0.001388157351162399
24,0.0013156285142072468
25,0.0015748292366648353
26,0.0013306023905460698
27,0.0011476278911447463
28,0.001090325997748049
29,0.0010839636724621542
